100.8.0.0
Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
2;GeocacheBasis;14;14
3;GeocacheBasis;16;16
4;GeocacheBasis;29;29
9;GeocacheBasis;4;4
10;GeocacheBasis;16;16
11;GeocacheBasis;39;39
Sum tiles between LoD 2 -> 11:;;;118
Duration drawing:;;;00:00:07.977519

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
6;GeocacheBasis;6;6
7;GeocacheBasis;12;12
8;GeocacheBasis;42;42
9;GeocacheBasis;24;24
Sum tiles between LoD 6 -> 9:;;;84
Duration drawing:;;;00:00:07.196915

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;19;19
10;GeocacheBasis;30;30
13;GeocacheBasis;4;4
14;GeocacheBasis;16;16
15;GeocacheBasis;33;33
Sum tiles between LoD 9 -> 15:;;;102
Duration drawing:;;;00:00:10.218708

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
10;GeocacheBasis;23;23
12;GeocacheBasis;12;12
13;GeocacheBasis;19;19
Sum tiles between LoD 10 -> 13:;;;54
Duration drawing:;;;00:00:02.221176

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;4;4
12;GeocacheBasis;12;12
13;GeocacheBasis;18;18
14;GeocacheBasis;39;39
Sum tiles between LoD 11 -> 14:;;;73
Duration drawing:;;;00:00:02.018121

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;18;18
Sum tiles between LoD 12 -> 12:;;;18
Duration drawing:;;;00:00:01.536396

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;5;5
10;GeocacheBasis;19;19
Sum tiles between LoD 9 -> 10:;;;24
Duration drawing:;;;00:00:02.281353

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;16;16
10;GeocacheBasis;5;5
11;GeocacheBasis;5;5
15;GeocacheBasis;1;1
Sum tiles between LoD 9 -> 15:;;;27
Duration drawing:;;;00:00:03.186195

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
13;GeocacheBasis;30;30
Sum tiles between LoD 13 -> 13:;;;30
Duration drawing:;;;00:00:01.630625

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
11;GeocacheBasis;10;10
12;GeocacheBasis;26;26
13;GeocacheBasis;2;2
Sum tiles between LoD 11 -> 13:;;;38
Duration drawing:;;;00:00:01.503936

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;10;10
Sum tiles between LoD 12 -> 12:;;;10
Duration drawing:;;;00:00:01.112921

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:02.124923

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
9;GeocacheBasis;10;10
12;GeocacheBasis;11;11
13;GeocacheBasis;9;9
15;GeocacheBasis;1;1
Sum tiles between LoD 9 -> 15:;;;31
Duration drawing:;;;00:00:04.282710

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.094695

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;7;7
13;GeocacheBasis;21;21
14;GeocacheBasis;5;5
Sum tiles between LoD 12 -> 14:;;;33
Duration drawing:;;;00:00:01.433749

Zoom Extent; Number; 0;
266437, 6651261;266437, 6653668;258133, 6651261;258133, 6653668
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;3;3
Sum tiles between LoD 12 -> 12:;;;3
Duration drawing:;;;00:00:01.115337

Zoom Extent; Number; 1;
223062, 6635196;223062, 6673404;283568, 6635196;283568, 6673404
Zoom Duration Seconds;;;
2;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:02.152859

Zoom Extent; Number; 2;
261914, 6649447;261914, 6649769;262406, 6649769;262406, 6649447
Zoom Duration Seconds;;;
3;;;
Level;Layer;Tiles;Total Tiles
10;GeocacheBasis;3;3
11;GeocacheBasis;8;8
12;GeocacheBasis;2;2
13;GeocacheBasis;27;27
14;GeocacheBasis;16;16
Sum tiles between LoD 10 -> 14:;;;56
Duration drawing:;;;00:00:03.550838

Zoom Extent; Number; 3;
261813, 6645050;261813, 6654888;277532, 6654888;277532, 6645050
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
Missing Tile Information
Duration drawing:;;;00:00:01.056995

Zoom Extent; Number; 4;
265410, 6648252;265410, 6648862;266462, 6648862;266462, 6648252
Zoom Duration Seconds;;;
1;;;
Level;Layer;Tiles;Total Tiles
12;GeocacheBasis;2;2
